#SampleID	IDstring	Country	Region	Age	Mbases	total_reads	human_perc	seqs	microbiome_seqs	KEGG_mapped	KEGG_mapped_perc	V4_16s_sequenced
AmzC3babyF	AmzC3babyF	Venezuela	Coromoto	0,5	47,747383	148455	0,2	148187	47,716214	82870,082	55,922639637755	Yes
AmzC5adltF	AmzC5adltF	Venezuela	Coromoto	20	44,706592	145761	0,1	145658	44,571348	48362,477	33,2027605761441	Yes
AmzC5chldF	AmzC5chldF	Venezuela	Coromoto	2	95,449878	261294	0,5	259910	94,86715	136517,76	52,5250125043284	Yes
AmzC5chldM	AmzC5chldM	Venezuela	Coromoto	1	89,816854	246633	13,6	213186	78,87882	106532,397	49,9715727111537	Yes
F3T1pre4	F3T1pre4	USA	STL	23	11,781728	52597	0	52576	11,777024	17978,533	34,1953229610469	Yes
F3T2pre4	F3T2pre4	USA	STL	23	11,1672	49632	0,1	49596	11,1591	16907,499	34,0904488265183	Yes
F4T1pre4	F4T1pre4	USA	STL	23	11,695924	49559	0,1	49517	11,735529	17122	34,5780237090292	Yes
F4T2pre4	F4T2pre4	USA	STL	23	11,6298	49700	0	49683	11,625822	17571,786	35,3678038765775	Yes
h10A.2	h10A.2	Malawi	Mbiza	1,6	74,561283	194643	0,4	193914	74,269062	84307,002	43,4764906092391	Yes
h10B.2	h10B.2	Malawi	Mbiza	1,6	102,257154	254020	17,3	210101	85,931309	97916,916	46,6046882213793	No
h10M	h10M	Malawi	Mbiza	26,5	55,249072	151016	0,1	150839	55,207074	52929,667	35,090173628836	Yes
h121A.1	h121A.1	Malawi	Mbiza	0,43	37,380242	101266	1,5	99698	36,88826	43925,081	44,0581365724488	Yes
h121B.1	h121B.1	Malawi	Mbiza	0,43	58,127016	153867	0,8	152687	57,715686	62425,267	40,884467570913	Yes
h209A.2	h209A.2	Malawi	Mbiza	0,56	67,642002	170563	22,1	132838	53,79939	80450,019	60,5625039521823	Yes
h209B.2	h209B.2	Malawi	Mbiza	0,56	48,071816	121080	18,8	98369	39,741076	55178,051	56,0929266333906	Yes
h257A.1	h257A.1	Malawi	Mayaka	0,19	60,909165	155608	0,3	155162	60,668342	83784,882	53,9983256209639	Yes
h257B.1	h257B.1	Malawi	Mayaka	0,19	71,658777	200057	44,3	111346	41,866096	64614,166	58,0300738239362	Yes
h257M.2	h257M.2	Malawi	Mayaka	23	53,240735	180645	0,1	180417	53,223015	62727,201	34,7678993664677	Yes
h259A.2	h259A.2	Malawi	Mbiza	0,268333333333333	32,1	100512	0,9	88000	32	49873	56,6738636363636	Yes
h259B.2	h259B.2	Malawi	Mbiza	0,268333333333333	28,8	91029	5,6	76770	28	44785	58,3365898137293	Yes
h301A.1	h301A.1	Malawi	Chamba	0,05	60,908281	145357	0,2	145054	60,777626	84455,057	58,2231837798337	Yes
h301B.1	h301B.1	Malawi	Chamba	0,05	74,034648	187452	0,1	187224	73,95348	107090,66	57,1992159124899	Yes
h301M.1	h301M.1	Malawi	Chamba	25	49,589851	170516	0,3	170081	49,493571	53793,583	31,6282142038205	Yes
h37A.2	h37A.2	Malawi	Mbiza	1,2	67,810206	178164	4	171067	65,347594	73538,398	42,9880678330713	Yes
h37B.2	h37B.2	Malawi	Mbiza	1,2	192,072457	499973	24,1	379277	149,435138	209026,08	55,1117204576075	Yes
h37M	h37M	Malawi	Mbiza	26,88	73,576398	184402	0,1	184151	73,476249	61340,582	33,3099369539128	Yes
h47A.1	h47A.1	Malawi	Chamba	0,6	100,401305	256160	0,7	254363	99,710296	113656,013	44,6826043882168	Yes
h47B.1	h47B.1	Malawi	Chamba	0,6	71,950971	184511	0,1	184366	71,90274	79243,63	42,9816940216743	Yes
h95A.1	h95A.1	Malawi	Mayaka	1,25	124,678627	330681	1	327329	123,403033	145375,282	44,4125885576897	Yes
h95B.1	h95B.1	Malawi	Mayaka	1,25	101,66127	261321	1,3	258046	100,63794	123044,872	47,6833091774335	Yes
h95M	h95M	Malawi	Mayaka	23,89	64,720752	168724	0,5	167919	64,480896	56888,766	33,8786950851303	Yes
TS1	TS1	USA	MOAFTS	28	48,452278	190757	0	190749	48,450246	71458,914	37,4622745073369	Yes
TS2	TS2	USA	MOAFTS	28	57,35268	248280	0	248274	57,351294	71863,232	28,9451299773637	Yes
